Company,Product,TypeName,Inches,ScreenResolution,Name CPU,CPU Speed,Ram,Name Memory,Memory Capacity,Gpu,OpSys,Weight,Price_dollars,Discount,Star_rating,Rating,Review 
Asus,Rog GL702VS-GC095T,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,2.9,2264.8106,18,0.0,0,0
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U,2.5GHz,6,HDD,1024GB,Nvidia GeForce GTX 940M,Windows 10,2.8,692.6777,13,0.0,0,0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,2048GB,Nvidia GeForce 940MX,No OS,2.2,585.9476999999999,57,4.0,48,12
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1350.1345,29,4.4,282,36
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200,1.1GHz,4,HDD,1024GB,Intel HD Graphics 505,No OS,2.2,384.21732699999995,0,0.0,0,0
HP,EliteBook x360,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 7600U,2.8GHz,16,SSD,256GB,Intel HD Graphics 620,Windows 10,1.28,2107.9175,32,4.2,67,4
Toshiba,Satellite Pro,Notebook,15.6,1920x1080,Intel Core i7 6500U,2.5GHz,8,SSD,256GB,Nvidia GeForce 930M,Windows 10,2.2,1113.1939,29,4.1,383,65
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,HDD,128GB,Nvidia GeForce 940MX,Windows 10,2.3,874.1186999999999,31,0.0,0,0
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 520,Windows 10,1.86,500.5637,33,0.0,0,0
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.1,1066.2327,18,4.6,23,2
Dell,XPS 13,Ultrabook,13.3,3840x2160,Intel Core i7 8550U,1.8GHz,16,SSD,1024GB,Intel UHD Graphics 620,Windows 10,1.21,2667.1827,8,4.4,677,87
MSI,GE63VR 7RF,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,2.8,2240.2626999999998,27,3.3,3,0
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,1920x1080,AMD A8-Series 7410,2.2GHz,8,SSD,256GB,AMD Radeon R5,Windows 10,2.23,500.5637,46,4.4,46,4
Asus,VivoBook Flip,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,2,SSD,32GB,Intel HD Graphics 500,Windows 10,1.1,293.5075,16,3.0,4,1
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,AMD Radeon 530,Windows 10,2.33,900.8011999999999,17,4.2,9,1
HP,Spectre x360,2 in 1 Convertible,13.3,3840x2160,Intel Core i7 8550U,1.8GHz,16,SSD,1024GB,Intel UHD Graphics 620,Windows 10,1.29,2613.8176999999996,46,4.4,26,4
Lenovo,ThinkPad 13,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U,1.6GHz,4,SSD,16GB,Intel HD Graphics 510,Chrome OS,1.45,490.85126999999994,34,5.0,5,0
HP,ProBook 640,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.95,1045.954,10,4.4,40,3
Acer,TravelMate B,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710,1.6GHz,4,SSD,128GB,Intel HD Graphics 405,Windows 10,1.4,517.6405,35,3.9,44,6
HP,Elitebook 840,Notebook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.48,1378.9515999999999,30,4.7,28,6
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U,2.5GHz,4,HDD,1024GB,Nvidia GeForce 920MX,Windows 10,2.79,628.6397,8,4.3,1541,123
Asus,ZenBook UX410UA-GV183T,Notebook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,2,1167.6262,0,4.2,72,7
HP,ProBook 450,Notebook,15.6,1366x768,Intel Core i7 8550U,1.8GHz,8,HDD,1024GB,Intel UHD Graphics 620,Windows 10,2.1,962.7045999999999,56,4.6,44,8
Acer,Aspire 5,Notebook,15.6,1366x768,AMD A12-Series 9720P,2.7GHz,8,SSD,256GB,AMD Radeon RX 540,Windows 10,2.2,703.3507,2,4.3,17,2
Lenovo,IdeaPad 120S-14IAP,Notebook,14,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,32GB,Intel HD Graphics 500,Windows 10,1.44,311.6516,24,4.4,59,11
Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,6,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.23,585.9476999999999,16,0.0,0,0
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.7,1120.55827,31,4.1,337,27
HP,Elitebook 820,Ultrabook,12.5,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.26,1424.8455,33,4.6,10,2
Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7 7700HQ,2.8GHz,32,SSD,1024GB,Nvidia GeForce GTX 1050,Windows 10,2.06,2816.6047,27,4.2,10,2
MSI,GL72M 7REX,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1279.6926999999998,21,3.8,31,7
Toshiba,Satellite Pro,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,2.0,1006.4639,27,0.0,0,0
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,HDD,256GB,Intel HD Graphics 620,Windows 10,2,1423.7782,25,4.3,10,0
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 520,Windows 10,1.85,479.2177,19,4.7,76,14
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia GeForce GTX 1050,Windows 10,2.5,1066.2327,20,4.1,44,6
HP,EliteBook 840,Notebook,14,1920x1080,Intel Core i5 7300U,2.6GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.48,1353.3364,21,0.0,0,0
Dell,Inspiron 7570,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,Nvidia GeForce 940MX,Windows 10,1.9,1119.5976999999998,19,4.4,11,3
HP,Elitebook 850,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.84,1220.9912,18,4.3,138,16
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,Linux,2,293.496827,23,4.1,199,17
Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,2,1219.6570749999998,23,4.1,46,6
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,HDD,500GB,Intel HD Graphics,Linux,2.2,293.40076999999997,5,4.4,45,5
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,AMD A12-Series 9720P,3.6GHz,12,HDD,2048GB,AMD Radeon 530,Windows 10,2.2,959.5026999999999,0,0.0,0,0
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,8,HDD,1024GB,Nvidia GeForce 930MX ,Windows 10,2.1,764.1868,9,4.1,35,4
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,3840x2160,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.4,2240.2626999999998,8,4.4,32,5
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.2,1685.2667,4,4.2,108,13
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,1204.9816999999998,21,0.0,0,0
HP,Stream 14-AX001nv,Notebook,14,1366x768,Intel Celeron Dual Core N3060,1.6GHz,2,SSD,32GB,Intel HD Graphics 400,Windows 10,1.44,297.77669999999995,1,4.5,814,112
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7 8650U,1.9GHz,16,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.88,1716.175708,0,0.0,0,0
Asus,VivoBook Flip,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,32GB,Intel HD Graphics 500,Windows 10,1.5,400.23749999999995,14,4.2,75,9
Dell,Inspiron 5570,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,1024GB,AMD Radeon 530,Windows 10,1.9,707.6198999999999,16,0.0,0,0
Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7 7700HQ,2.8GHz,16,SSD,512GB,Nvidia GeForce GTX 1050,Windows 10,2.06,2163.865366,23,4.7,3,0
HP,Elitebook 850,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.84,1391.7592,37,4.6,11,3
MSI,GP72MVR 7RFX,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1060,Windows 10,2.7,1503.8256999999999,16,4.4,125,11
HP,Zbook 15,Workstation,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia Quadro M1200,Windows 10,2.6,1855.255571,10,0.0,0,0
Toshiba,Tecra A50-C-21G,Notebook,15.6,1920x1080,Intel Core i7 6500U,2.5GHz,16,SSD,512GB,Nvidia GeForce 930M,Windows 10,2.4,1497.4218999999998,20,4.5,4,0
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,128GB,AMD Radeon 530,Windows 10,2.02,1036.24157,11,4.4,714,147
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,No OS,2.2,343.659927,25,4.0,85,14
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,1024GB,Nvidia GeForce GTX 1050,Windows 10,2.65,1066.2327,23,0.0,0,0
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,2048GB,Intel HD Graphics 620,Windows 10,2.36,594.881001,29,4.0,21,3
Dell,Latitude 7480,Notebook,14,1920x1080,Intel Core i5 7300U,2.6GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.36,1523.0370999999998,29,3.8,9,1
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,HDD,500GB,Intel HD Graphics 520,Windows 10,1.86,468.5447,17,0.0,0,0
Asus,Zenbook UX410UA-GV027T,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,2,1008.5985,28,4.2,30,4
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U,2.5GHz,6,HDD,128GB,Nvidia GeForce GTX 940MX,Windows 10,2.8,767.3887,19,4.2,44,4
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,Intel HD Graphics 620,Windows 10,1.86,682.0047,26,3.8,4,1
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,8,SSD,256GB,Nvidia GeForce 920MX ,No OS,2.2,532.5826999999999,18,0.0,0,0
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N3710,1.6GHz,8,HDD,2048GB,Intel HD Graphics 405,Windows 10,2.04,415.17969999999997,22,4.4,14,2
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,AMD Radeon 530,Windows 10,2.8,1158.0204999999999,21,4.3,739,71
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,No OS,2.4,863.4457,20,4.5,31,5
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,AMD Radeon R7 M445,Windows 10,2.33,959.5026999999999,6,4.4,145,19
HP,Elitebook 1040,Ultrabook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.36,1867.7749999999999,12,0.0,0,0
Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,12,HDD,512GB,Nvidia GeForce GT 940MX,Windows 10,2.26,1172.9626999999998,1,3.8,19,2
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420,3GHz,4,SSD,128GB,AMD Radeon R5,Windows 10,2.1,454.66979999999995,5,0.0,0,0
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1700,3GHz,16,HDD,256GB,AMD Radeon RX 580,Windows 10,3.25,2346.9927,8,4.3,545,74
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A8-Series 7410,2.2GHz,4,SSD,128GB,AMD Radeon R5,Windows 10,2.6,521.9096999999999,12,4.2,32,6
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.62,927.4943729999999,33,0.0,0,0
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,1920x1080,AMD A9-Series 9420,3GHz,4,SSD,256GB,AMD Radeon R5,Windows 10,1.91,521.8990269999999,10,4.3,1124,100
Lenovo,Yoga 11e,Netbook,11.6,1366x768,Intel Celeron Quad Core N3450,1.1GHz,4,SSD,128GB,Intel HD Graphics 500,Windows 10,1.59,590.2169,18,4.9,35,6
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,1.60GHz,4,HDD,500GB,Intel HD Graphics 400,Windows 10,1.8,329.79569999999995,11,4.8,9,0
Asus,VivoBook E403NA,Notebook,14,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,32GB,Intel HD Graphics 500,Windows 10,1.5,305.2478,20,4.7,98,6
Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,1024GB,Nvidia GeForce GTX 1050,Linux,2.4,902.9358,13,4.1,31,2
HP,Omen 17-w212nv,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,3.35,1271.1543,8,4.4,19,3
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,128GB,Intel HD Graphics 520,No OS,1.85,430.65554999999995,17,0.0,0,0
Asus,ROG Strix,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1060,Windows 10,2.3,1766.3815,24,4.5,11,0
Lenovo,IdeaPad 720S-14IKB,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.5,1172.9626999999998,10,4.4,45,3
Asus,Zenbook Flip,Ultrabook,13.3,1920x1080,Intel Core i7 7500U,2.7GHz,16,SSD,512GB,Intel HD Graphics 620,Windows 10,1.1,1866.60097,16,0.0,0,0
Lenovo,Thinkpad X1,Ultrabook,14,2560x1440,Intel Core i7 7500U,2.7GHz,8,SSD,512GB,Intel HD Graphics 620,Windows 10,1.13,2435.5786,7,0.0,0,0
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,1920x1080,Intel Core i3 7100U,2.4GHz,4,SSD,128GB,Intel HD Graphics 620,Windows 10,1.5,585.9476999999999,19,0.0,0,0
Dell,Precision 3510,Workstation,15.6,1920x1080,Intel Core i5 6440HQ,2.6GHz,8,HDD,500GB,AMD FirePro W5130M,Windows 10,2.23,1461.1336999999999,11,0.0,0,0
Dell,Precision 5520,Workstation,15.6,1920x1080,Intel Core i7 6820HQ,2.7GHz,8,SSD,256GB,Nvidia Quadro M1200,Windows 10,2,2278.6854999999996,18,0.0,0,0
Lenovo,ThinkPad X1,2 in 1 Convertible,14,2560x1440,Intel Core i7 7500U,2.7GHz,16,SSD,512GB,Intel HD Graphics 620,Windows 10,1.42,2677.8556999999996,23,0.0,0,0
Asus,Rog GL753VD-GC042T,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,1024GB,Nvidia GeForce GTX 1050,Windows 10,3,1108.9246999999998,5,4.3,474,37
Asus,Rog GL753VE-GC070T,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,3,1698.0742999999998,31,0.0,0,0
Acer,Aspire 5,Notebook,15.6,1366x768,Intel Core i5 8250U,1.6GHz,12,HDD,1024GB,Nvidia GeForce MX130,Windows 10,2.2,740.695527,4,4.2,6,0
MSI,Leopard GP72M,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1439.7876999999999,37,0.0,0,0
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,AMD Radeon R7 M445,Linux,2.33,831.2879509999999,2,3.9,24,4
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,1920x1080,AMD A9-Series 9420,3GHz,4,SSD,256GB,AMD Radeon 520,Windows 10,1.91,532.5826999999999,20,4.5,195,17
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon RX 550,Windows 10,2.1,1312.309388,19,0.0,0,0
Lenovo,ThinkPad L470,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.9,1001.1274,16,0.0,0,0
Dell,Precision M5520,Workstation,15.6,3840x2160,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia Quadro M1200,Windows 10,1.78,2894.5175999999997,17,5.0,2,1
Lenovo,Thinkpad X1,Ultrabook,14,2560x1440,Intel Core i7 7500U,2.7GHz,16,SSD,1024GB,Intel HD Graphics 620,Windows 10,1.13,2801.6625,27,0.0,0,0
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,Windows 10,2.2,326.5938,31,0.0,0,0
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1050,Windows 10,2.9,1631.9017,16,0.0,0,0
Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,256GB,AMD Radeon RX 550,Windows 10,2.1,1221.52485,12,4.5,21,2
Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia GeForce GTX 1050,Linux,2.5,938.1566999999999,0,0.0,0,0
MSI,GE73VR 7RF,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,2.8,2400.3577,29,0.0,0,0
Asus,Zenbook 3,Ultrabook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,512GB,Intel HD Graphics 620,Windows 10,1.10,1999.0529,9,4.8,5,0
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,1920x1080,Intel Core i7 6500U,2.5GHz,16,SSD,512GB,Intel HD Graphics 520,Windows 10,1.2,1864.5730999999998,18,0.0,0,0
Dell,Latitude 7480,Ultrabook,14,1920x1080,Intel Core i7 7600U,2.8GHz,8,SSD,512GB,Intel HD Graphics,Windows 10,1.36,1793.0639999999999,16,0.0,0,0
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,500GB,Intel HD Graphics 520,Windows 10,2.2,436.5257,11,4.1,10,3
Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,2,SSD,32GB,Intel HD Graphics 500,Windows 10,1.15,324.93948499999993,25,0.0,0,0
Lenovo,ThinkPad P51,Workstation,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,512GB,Nvidia Quadro M1200,Windows 10,2.67,2054.5525,20,4.3,10,1
Lenovo,Thinkpad T470p,Ultrabook,14,2560x1440,Intel Core i7 7700HQ,2.8GHz,8,SSD,512GB,Nvidia GeForce GT 940MX,Windows 10,1.7,2073.7639,23,3.7,15,3
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,AMD Radeon 520,Windows 10,2.1,500.5637,6,4.4,138,23
Acer,Aspire R7,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 6500U,2.5GHz,8,SSD,256GB,Intel HD Graphics 520,Windows 10,1.6,842.1103729999999,18,0.0,0,0
Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.27,990.4544,4,0.0,0,0
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,4,SSD,256GB,AMD Radeon R5 M430,Linux,2.3,639.20597,12,4.4,16,3
Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U,2GHz,4,SSD,128GB,Intel HD Graphics 520,Windows 10,1.65,735.3697,14,4.9,11,4
HP,EliteBook 1040,Ultrabook,14,1920x1080,Intel Core i7 6500U,2.5GHz,8,SSD,256GB,Intel HD Graphics 520,Windows 10,1.43,1600.9499999999998,3,0.0,0,0
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.14,576.288635,0,0.0,0,0
Lenovo,ThinkPad E480,Ultrabook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon RX 550,Windows 10,1.75,1297.175074,0,5.0,4,0
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,3840x2160,Intel Core i7 7700HQ,2.8GHz,16,SSD,512GB,Nvidia GeForce GTX 1050,Windows 10,2,2026.8026999999997,40,0.0,0,0
Chuwi,LapBook 12.3,Notebook,12.3,2736x1824,Intel Celeron Quad Core N3450,1.1GHz,6,SSD,64GB,Intel HD Graphics 500,Windows 10,1.4,479.2177,25,4.4,22,3
HP,ProBook 650,Notebook,15.6,1920x1080,Intel Core i7 7820HQ,2.9GHz,8,SSD,256GB,Intel HD Graphics 630,Windows 10,2.31,1523.0370999999998,0,4.6,16,2
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,8,HDD,1024GB,Nvidia GeForce 940MX,Linux,2.3,637.1781,7,3.6,16,1
Dell,Alienware 17,Gaming,17.3,2560x1440,Intel Core i7 7820HK,2.9GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,4.42,2987.3727,23,0.0,0,0
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1237.0006999999998,32,4.1,117,31
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,256GB,AMD Radeon 530,Windows 10,2.02,1219.28352,34,3.9,14,6
Dell,Latitude 5480,Ultrabook,14,1920x1080,Intel Core i7 7600U,2.8GHz,8,SSD,256GB,Intel HD Graphics 620,Linux,1.6,1172.9626999999998,18,0.0,0,0
HP,Omen 17-w207nv,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,12,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,3.35,2133.5326999999997,22,3.5,6,3
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,1920x1080,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,32GB,Intel HD Graphics 500,Windows 10,1.16,319.12269999999995,24,0.0,0,0
Samsung,Chromebook 3,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,SSD,16GB,Intel HD Graphics 400,Chrome OS,1.15,287.1037,18,0.0,0,0
Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.4,1077.973,27,0.0,0,0
Lenovo,IdeaPad 320s-14IKB,Notebook,14,1920x1080,Intel Core i3 7130U,2.7GHz,4,SSD,128GB,Intel HD Graphics 620,Windows 10,1.7,639.3127,36,4.0,5,0
Lenovo,Thinkpad T570,Workstation,15.6,3840x2160,Intel Core i7 7600U,2.8GHz,16,SSD,512GB,Nvidia GeForce 940MX,Windows 10,2.3,2609.5485,18,0.0,0,0
Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel Core i7 7820HQ,2.9GHz,16,SSD,512GB,Nvidia Quadro M2200M,Windows 10,2.5,2613.8176999999996,41,3.4,17,3
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1600,3.2GHz,8,HDD,256GB,AMD Radeon RX 580,Windows 10,3.2,1809.0735,26,3.9,17,2
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,HDD,500GB,Intel HD Graphics 400,Windows 10,2.1,370.3531,20,4.7,3,0
Google,Pixelbook (Core,Ultrabook,12.3,2400x1600,Intel Core i7 7Y75,1.3GHz,16,SSD,512GB,Intel HD Graphics 615,Chrome OS,1.1,2346.9927,12,4.4,512,85
